left,right,manip_threshold,max_candles,consec_candles,min_candles_2nd,max_candles_2nd,rr_ratio,weighted_profit,total_success_rate,profit_factor,sharpe_ratio,max_drawdown,avg_profit,trades_per_day,file_results,norm_profit,norm_trade_count,norm_success,norm_pf,norm_sharpe,norm_drawdown,norm_avg_profit,total_score,rank_profit,rank_trade_count,rank_success,rank_pf,rank_sharpe,rank_drawdown,rank_avg_profit
20,25,0.012,15,3,15,25,1.5,2150.0,52.112676056338024,1.6323529411764706,0.552372620204111,700.0,30.281690140845072,0.19452054794520549,{'1yil.csv': 2150.0},0.21256038647342995,0.022765598650927487,0.7887844765369817,0.7348901525745005,0.5589219692895999,0.978494623655914,0.788784476536982,66.28474957082709,790.0,993.0,25.0,25.0,169.0,3.0,25.0
10,25,0.01,15,4,10,20,1.5,4250.0,50.625,1.5379746835443038,0.6166277681090291,1150.0,26.5625,0.4383561643835616,{'1yil.csv': 4250.0},0.41545893719806765,0.09780775716694771,0.6927496038034864,0.6259704307007162,0.6231710273736444,0.8817204301075269,0.6927496038034865,65.9854595573159,374.0,845.0,41.0,41.0,89.0,141.0,41.0
15,25,0.012,15,2,20,30,1.5,2500.0,51.76470588235295,1.6097560975609757,0.5463969178182518,800.0,29.41176470588235,0.2328767123287671,{'1yil.csv': 2500.0},0.2463768115942029,0.03456998313659358,0.7663217426431749,0.7088116681483774,0.5529468332545828,0.956989247311828,0.7663217426431744,65.5485632021659,735.0,980.0,30.0,30.0,183.0,17.0,30.0
15,10,0.012,15,2,20,20,1.5,4050.0,50.0,1.5,0.6589465276604691,900.0,25.0,0.4438356164383562,{'1yil.csv': 4050.0},0.3961352657004831,0.09949409780775716,0.6524035921817221,0.5821447437929214,0.6654857761388102,0.9354838709677419,0.6524035921817221,64.99595837097839,409.0,842.0,47.0,47.0,59.0,36.0,47.0
20,15,0.01,15,3,20,25,1.5,3400.0,50.79365079365079,1.5483870967741935,0.5644474484205438,900.0,26.984126984126984,0.3452054794520548,{'1yil.csv': 3400.0},0.3333333333333333,0.06913996627318719,0.7036366228125338,0.6379871513044664,0.5709956531068162,0.9354838709677419,0.703636622812534,64.49804808988854,525.0,916.0,37.0,37.0,147.0,36.0,37.0
25,25,0.01,15,3,10,30,1.5,2650.0,50.495049504950494,1.53,0.7174082022225309,800.0,26.237623762376238,0.27671232876712326,{'1yil.csv': 2650.0},0.2608695652173913,0.04806070826306913,0.6843608291098522,0.6167670364500794,0.7239419099599715,0.956989247311828,0.6843608291098523,64.35640385296686,700.0,961.0,44.0,44.0,21.0,17.0,44.0
25,25,0.01,15,3,10,20,1.5,2650.0,50.495049504950494,1.53,0.7174082022225309,800.0,26.237623762376238,0.27671232876712326,{'1yil.csv': 2650.0},0.2608695652173913,0.04806070826306913,0.6843608291098522,0.6167670364500794,0.7239419099599715,0.956989247311828,0.6843608291098523,64.35640385296686,700.0,961.0,44.0,44.0,21.0,17.0,44.0
25,25,0.01,15,4,15,20,1.5,2300.0,51.94805194805194,1.6216216216216217,0.48624004775450724,950.0,29.87012987012987,0.21095890410958903,{'1yil.csv': 2300.0},0.22705314009661837,0.027824620573355812,0.778157394639169,0.7225053897003185,0.49279566459492724,0.9247311827956989,0.7781573946391696,64.2944244792678,773.0,985.0,28.0,28.0,267.0,58.0,28.0
20,20,0.004,30,2,10,25,1.5,8500.0,47.31182795698925,1.346938775510204,0.6559731047764057,2450.0,18.27956989247312,1.273972602739726,{'1yil.csv': 8500.0},0.8260869565217391,0.35497470489038785,0.4788723593999397,0.4055003935012991,0.662512635062716,0.6021505376344086,0.47887235939993983,63.659345775764855,14.0,279.0,138.0,138.0,60.0,681.0,138.0
20,20,0.004,30,2,10,30,1.5,8500.0,47.31182795698925,1.346938775510204,0.6559731047764057,2450.0,18.27956989247312,1.273972602739726,{'1yil.csv': 8500.0},0.8260869565217391,0.35497470489038785,0.4788723593999397,0.4055003935012991,0.662512635062716,0.6021505376344086,0.47887235939993983,63.659345775764855,14.0,279.0,138.0,138.0,60.0,681.0,138.0
