open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2025-03-29 17:15:00+03:00,126.1000,126.3000,125.6300,126.0400,159805,2025-03-29 17:29:59.999000+03:00,20122814.3600,11507,71215,8969646.1200,0
2025-03-29 17:30:00+03:00,126.0300,126.4600,125.9000,126.1900,101270,2025-03-29 17:44:59.999000+03:00,12779631.4700,9366,58273,7353808.3900,0
2025-03-29 17:45:00+03:00,126.1800,126.2300,125.7800,125.8300,74039,2025-03-29 17:59:59.999000+03:00,9325602.9500,7670,28328,3568007.5000,0
2025-03-29 18:00:00+03:00,125.8200,126.3800,125.8100,126.2400,92230,2025-03-29 18:14:59.999000+03:00,11630786.8500,8554,51492,6494327.9200,0
2025-03-29 18:15:00+03:00,126.2500,126.5100,125.9500,126.2300,96788,2025-03-29 18:29:59.999000+03:00,12218265.6600,8139,52695,6652900.1000,0
2025-03-29 18:30:00+03:00,126.2300,126.4400,125.8000,125.9500,126188,2025-03-29 18:44:59.999000+03:00,15910311.7900,9762,53934,6799844.7800,0
2025-03-29 18:45:00+03:00,125.9500,126.2800,125.9000,126.2500,78457,2025-03-29 18:59:59.999000+03:00,9897315.1600,6758,35943,4534415.7900,0
2025-03-29 19:00:00+03:00,126.2600,126.7100,126.1100,126.4700,213014,2025-03-29 19:14:59.999000+03:00,26924561.2900,13078,114729,14500080.7400,0
2025-03-29 19:15:00+03:00,126.4700,126.5100,125.8500,125.9900,123473,2025-03-29 19:29:59.999000+03:00,15572484.1300,10846,57616,7266871.4400,0
2025-03-29 19:30:00+03:00,125.9900,126.4600,125.9300,126.0100,90461,2025-03-29 19:44:59.999000+03:00,11417410.3900,8701,39651,5004206.0600,0
2025-03-29 19:45:00+03:00,126.0100,126.2200,125.0000,125.2200,392438,2025-03-29 19:59:59.999000+03:00,49242937.0700,26216,152850,19188093.3000,0
